target,horizon,candidate,fold,evaluation_stage,n,mae,rmse,mae_calibrated,n_features,mean_slope,zero_mae
samsung,5,inner_selected,dev_08,dev_fold,123,0.04333622905753053,,,,,0.04194117180688839
samsung,5,inner_selected,dev_09,dev_fold,117,0.03550163448457036,,,,,0.03560835457832171
samsung,20,hold_current,dev_all,dev_common,1086,0.05006206151118869,0.06344103285048154,,,,
samsung,20,current_full,dev_all,dev_common,1086,0.05405680394323511,0.0705485383009407,0.05081234931177961,78,0.12729570009046887,
samsung,20,current_full,dev_01,dev_fold,123,0.03223035717183344,,,,,0.02443764540457775
samsung,20,current_full,dev_02,dev_fold,125,0.05122426652563163,,,,,0.0494481373447924
samsung,20,current_full,dev_03,dev_fold,108,0.06142859077945963,,,,,0.05511537872073959
samsung,20,current_full,dev_04,dev_fold,125,0.05409866622782556,,,,,0.05359914257642141
samsung,20,current_full,dev_05,dev_fold,123,0.05576750775121464,,,,,0.046202301301395514
samsung,20,current_full,dev_06,dev_fold,121,0.03944760113253581,,,,,0.040052940593539185
samsung,20,current_full,dev_07,dev_fold,121,0.053075578502231734,,,,,0.05453007980237695
samsung,20,current_full,dev_08,dev_fold,123,0.09174816033330938,,,,,0.07709427349915471
samsung,20,current_full,dev_09,dev_fold,117,0.04788007556966411,,,,,0.050582678256604424
samsung,20,market_only,dev_all,dev_common,1086,0.05301575546430136,0.06758452379713359,0.05298734565588953,59,0.4201432118932198,
samsung,20,market_only,dev_01,dev_fold,123,0.030973695588154316,,,,,0.02443764540457775
samsung,20,market_only,dev_02,dev_fold,125,0.05175687992697304,,,,,0.0494481373447924
samsung,20,market_only,dev_03,dev_fold,108,0.06287175770720321,,,,,0.05511537872073959
samsung,20,market_only,dev_04,dev_fold,125,0.05458340807720967,,,,,0.05359914257642141
samsung,20,market_only,dev_05,dev_fold,123,0.04383524740334731,,,,,0.046202301301395514
samsung,20,market_only,dev_06,dev_fold,121,0.03883837922655703,,,,,0.040052940593539185
samsung,20,market_only,dev_07,dev_fold,121,0.053379576782704066,,,,,0.05453007980237695
samsung,20,market_only,dev_08,dev_fold,123,0.09395545540278583,,,,,0.07709427349915471
samsung,20,market_only,dev_09,dev_fold,117,0.047658383946261075,,,,,0.050582678256604424
samsung,20,no_macro,dev_all,dev_common,1086,0.054713293851372,0.07178607002900915,0.050994930400331095,69,0.15416348505483765,
samsung,20,no_macro,dev_01,dev_fold,123,0.03117148692566007,,,,,0.02443764540457775
samsung,20,no_macro,dev_02,dev_fold,125,0.051394038375317634,,,,,0.0494481373447924
samsung,20,no_macro,dev_03,dev_fold,108,0.06244040586383584,,,,,0.05511537872073959
samsung,20,no_macro,dev_04,dev_fold,125,0.05484701895914593,,,,,0.05359914257642141
samsung,20,no_macro,dev_05,dev_fold,123,0.05841340461484928,,,,,0.046202301301395514
samsung,20,no_macro,dev_06,dev_fold,121,0.03879602159427081,,,,,0.040052940593539185
samsung,20,no_macro,dev_07,dev_fold,121,0.05273222234124382,,,,,0.05453007980237695
samsung,20,no_macro,dev_08,dev_fold,123,0.09577094389013906,,,,,0.07709427349915471
samsung,20,no_macro,dev_09,dev_fold,117,0.04719022092581834,,,,,0.050582678256604424
samsung,20,full_plus_A,dev_all,dev_common,1086,0.054590002897352254,0.07099243765653078,0.05036684021112689,104,0.05318918846825718,
samsung,20,full_plus_A,dev_01,dev_fold,123,0.03156798596377966,,,,,0.02443764540457775
samsung,20,full_plus_A,dev_02,dev_fold,125,0.052174425311905435,,,,,0.0494481373447924
samsung,20,full_plus_A,dev_03,dev_fold,108,0.06354930360328212,,,,,0.05511537872073959
samsung,20,full_plus_A,dev_04,dev_fold,125,0.054437598422047144,,,,,0.05359914257642141
samsung,20,full_plus_A,dev_05,dev_fold,123,0.055338805336544374,,,,,0.046202301301395514
samsung,20,full_plus_A,dev_06,dev_fold,121,0.0392039098006225,,,,,0.040052940593539185
