target,cell,horizon,candidate,fold,evaluation_stage,n,interval_coverage,coverage_ci_lo,coverage_ci_hi,mean_halfwidth,interval_score,mean_q,start,end,score_delta,score_delta_ci_lo,score_delta_ci_hi,verdict
samsung,1,1,current,2024H2,halfyear,123,0.8048780487804879,,,0.02795655523928559,0.08420404751467897,,,,,,,
samsung,1,1,current,2025H1,halfyear,117,0.8205128205128205,,,0.023572621073786614,0.06422964171586586,,,,,,,
samsung,1,1,current,2025H2,halfyear,107,0.7757009345794392,,,0.0283685109607144,0.07997452915665526,,,,,,,
samsung,1,1,current,2026H1,halfyear,120,0.8333333333333334,,,0.057139184482744625,0.17056368612523184,,,,,,,
samsung,1,1,current,2026H2,halfyear,49,0.9183673469387755,,,0.08744410481394206,0.2162102836267103,,,,,,,
samsung,1,1,trailing_q_w250,2022H2,halfyear,72,0.8055555555555556,,,0.021294557552675827,0.05695580054618713,,,,,,,
samsung,1,1,trailing_q_w250,2023H1,halfyear,123,0.8455284552845529,,,0.019034521615192968,0.04957856184071403,,,,,,,
samsung,1,1,trailing_q_w250,2023H2,halfyear,121,0.8264462809917356,,,0.014828407114061703,0.044739418337889164,,,,,,,
samsung,1,1,trailing_q_w250,2024H1,halfyear,121,0.7603305785123967,,,0.019176573744627896,0.05822031181556311,,,,,,,
samsung,1,1,trailing_q_w250,2024H2,halfyear,123,0.7804878048780488,,,0.026773758524619242,0.08415793457042127,,,,,,,
samsung,1,1,trailing_q_w250,2025H1,halfyear,117,0.8034188034188035,,,0.02262266713920365,0.06403960774590117,,,,,,,
samsung,1,1,trailing_q_w250,2025H2,halfyear,107,0.7663551401869159,,,0.02756315500253882,0.07999607004297236,,,,,,,
samsung,1,1,trailing_q_w250,2026H1,halfyear,120,0.825,,,0.05685872226847129,0.1708008206264683,,,,,,,
samsung,1,1,trailing_q_w250,2026H2,halfyear,49,0.9183673469387755,,,0.08421878061014831,0.21093873518355416,,,,,,,
samsung,1,1,conformal_w250,2022H2,halfyear,72,0.8055555555555556,,,0.021634559125483465,0.05698724929109465,,,,,,,
samsung,1,1,conformal_w250,2023H1,halfyear,123,0.8455284552845529,,,0.019208997717406282,0.049689885767624876,,,,,,,
samsung,1,1,conformal_w250,2023H2,halfyear,121,0.8347107438016529,,,0.014943719108747767,0.044822315774349586,,,,,,,
samsung,1,1,conformal_w250,2024H1,halfyear,121,0.7768595041322314,,,0.01924661448165199,0.058171969278512696,,,,,,,
samsung,1,1,conformal_w250,2024H2,halfyear,123,0.7804878048780488,,,0.026988275573848027,0.08429341977337919,,,,,,,
samsung,1,1,conformal_w250,2025H1,halfyear,117,0.811965811965812,,,0.02271102396900411,0.06400961118180186,,,,,,,
samsung,1,1,conformal_w250,2025H2,halfyear,107,0.7757009345794392,,,0.027813237446198694,0.07996016352858132,,,,,,,
samsung,1,1,conformal_w250,2026H1,halfyear,120,0.8333333333333334,,,0.05733036688887912,0.17117765226504975,,,,,,,
samsung,1,1,conformal_w250,2026H2,halfyear,49,0.9183673469387755,,,0.08523755865114661,0.2127356533253353,,,,,,,
samsung,1,1,trailing_q_w500,2022H2,halfyear,72,0.8055555555555556,,,0.021475102675203226,0.056657015426890896,,,,,,,
samsung,1,1,trailing_q_w500,2023H1,halfyear,123,0.8373983739837398,,,0.018168190602074218,0.049299317924910976,,,,,,,
samsung,1,1,trailing_q_w500,2023H2,halfyear,121,0.8429752066115702,,,0.015199079562621606,0.04478606665914946,,,,,,,
samsung,1,1,trailing_q_w500,2024H1,halfyear,121,0.8016528925619835,,,0.02000787989797674,0.05834602225880323,,,,,,,
samsung,1,1,trailing_q_w500,2024H2,halfyear,123,0.7642276422764228,,,0.026500615569840538,0.08388325474410162,,,,,,,
samsung,1,1,trailing_q_w500,2025H1,halfyear,117,0.7948717948717948,,,0.022239744749027623,0.06396837891170017,,,,,,,
samsung,1,1,trailing_q_w500,2025H2,halfyear,107,0.7663551401869159,,,0.027206291205581646,0.08013338121873557,,,,,,,
samsung,1,1,trailing_q_w500,2026H1,halfyear,120,0.8166666666666667,,,0.05597521569763248,0.17011589191533047,,,,,,,
samsung,1,1,trailing_q_w500,2026H2,halfyear,49,0.9183673469387755,,,0.08428694091550223,0.2120324609723169,,,,,,,
samsung,1,1,conformal_w500,2022H2,halfyear,72,0.8055555555555556,,,0.02163888709087157,0.05667077254281416,,,,,,,
samsung,1,1,conformal_w500,2023H1,halfyear,123,0.8373983739837398,,,0.018301680539597742,0.049433566473268235,,,,,,,
samsung,1,1,conformal_w500,2023H2,halfyear,121,0.8429752066115702,,,0.01524237819916996,0.04484831608979447,,,,,,,
samsung,1,1,conformal_w500,2024H1,halfyear,121,0.8016528925619835,,,0.02017796902563824,0.058506094529504435,,,,,,,
samsung,1,1,conformal_w500,2024H2,halfyear,123,0.7723577235772358,,,0.026572564402296363,0.08391423476409064,,,,,,,
samsung,1,1,conformal_w500,2025H1,halfyear,117,0.7948717948717948,,,0.02227120186414279,0.06399025171469641,,,,,,,
samsung,1,1,conformal_w500,2025H2,halfyear,107,0.7757009345794392,,,0.027313631336795364,0.08012073409795425,,,,,,,
samsung,1,1,conformal_w500,2026H1,halfyear,120,0.8166666666666667,,,0.056153858837347935,0.17015730356260228,,,,,,,
samsung,1,1,conformal_w500,2026H2,halfyear,49,0.9183673469387755,,,0.0845117023586898,0.21223061085207517,,,,,,,
samsung,1,1,aci_g0.005_w250,2022H2,halfyear,72,0.8194444444444444,,,0.022716046355296438,0.05743224447043257,,,,,,,
samsung,1,1,aci_g0.005_w250,2023H1,halfyear,123,0.8455284552845529,,,0.019504515116858467,0.0498213833309354,,,,,,,
samsung,1,1,aci_g0.005_w250,2023H2,halfyear,121,0.8016528925619835,,,0.014486336382822214,0.044674217877913334,,,,,,,
samsung,1,1,aci_g0.005_w250,2024H1,halfyear,121,0.7603305785123967,,,0.01938236283705751,0.05834886400180915,,,,,,,
samsung,1,1,aci_g0.005_w250,2024H2,halfyear,123,0.7886178861788617,,,0.028246212047482257,0.08481132133861295,,,,,,,
samsung,1,1,aci_g0.005_w250,2025H1,halfyear,117,0.8205128205128205,,,0.023190943033404313,0.06434009908748359,,,,,,,
samsung,1,1,aci_g0.005_w250,2025H2,halfyear,107,0.7850467289719626,,,0.02861499753673807,0.08041512689300699,,,,,,,
samsung,1,1,aci_g0.005_w250,2026H1,halfyear,120,0.8333333333333334,,,0.05823904481198112,0.1718623142904651,,,,,,,
samsung,1,1,aci_g0.005_w250,2026H2,halfyear,49,0.8775510204081632,,,0.08174205394546026,0.2091298991499162,,,,,,,
