date,value
2017-08-15,98.91
2017-08-16,101.86
2017-08-17,103.13
2017-08-18,103.07
2017-08-19,103.17
2017-08-20,103.47
2017-08-21,98.1
2017-08-22,99.27
2017-08-23,97.39
2017-08-24,95.11
2017-08-25,95.86
2017-08-26,96.04
2017-08-27,96.32
2017-08-28,97.77
2017-08-29,95.77
2017-08-30,96.28
2017-08-31,96.24
2017-09-01,96.46
2017-09-02,96.61
2017-09-03,97.0
2017-09-04,95.21
2017-09-05,95.96
2017-09-06,94.13
2017-09-07,95.97
2017-09-08,95.71
2017-09-09,95.17
2017-09-10,94.96
2017-09-11,99.16
2017-09-12,102.18
2017-09-13,104.29
2017-09-14,104.53
2017-09-15,104.68
2017-09-16,105.38
2017-09-17,105.36
2017-09-18,106.91
2017-09-19,105.72
2017-09-20,106.7
2017-09-21,105.03
2017-09-22,103.79
2017-09-23,103.77
2017-09-24,103.44
2017-09-25,100.21
2017-09-26,98.37
2017-09-27,95.97
2017-09-28,97.13
2017-09-29,98.95
2017-09-30,98.82
2017-10-01,100.36
2017-10-02,100.11
2017-10-03,101.07
2017-10-04,103.14
2017-10-05,102.7
2017-10-06,101.97
2017-10-07,102.16
2017-10-08,99.02
2017-10-09,98.75
2017-10-10,104.71
2017-10-11,110.31
2017-10-12,110.86
2017-10-13,111.97
2017-10-14,112.55
2017-10-15,112.44
2017-10-16,113.41
2017-10-17,112.78
2017-10-18,110.74
2017-10-19,110.77
2017-10-20,109.39
2017-10-21,109.23
2017-10-22,109.44
2017-10-23,110.42
2017-10-24,108.76
2017-10-25,109.9
2017-10-26,114.26
2017-10-27,119.66
2017-10-28,119.97
2017-10-29,120.32
2017-10-30,122.68
2017-10-31,128.89
2017-11-01,131.82
2017-11-02,130.65
2017-11-03,128.53
2017-11-04,128.49
2017-11-05,128.55
2017-11-06,126.44
2017-11-07,122.62
2017-11-08,118.67
2017-11-09,116.88
2017-11-10,115.89
2017-11-11,115.82
2017-11-12,117.17
2017-11-13,118.47
2017-11-14,119.89
2017-11-15,122.12
2017-11-16,121.78
2017-11-17,121.59
2017-11-18,121.31
2017-11-19,120.17
2017-11-20,118.27
2017-11-21,116.63
2017-11-22,112.54
2017-11-23,111.05
2017-11-24,112.16
2017-11-25,112.39
2017-11-26,111.37
2017-11-27,109.48
2017-11-28,106.02
2017-11-29,107.11
2017-11-30,103.71
2017-12-01,103.82
2017-12-02,103.47
2017-12-03,103.58
2017-12-04,104.92
2017-12-05,106.27
2017-12-06,103.48
2017-12-07,104.63
2017-12-08,102.21
2017-12-09,102.28
2017-12-10,101.6
2017-12-11,101.28
2017-12-12,100.42
2017-12-13,101.2
2017-12-14,102.97
2017-12-15,103.78
2017-12-16,103.97
2017-12-17,104.47
2017-12-18,105.0
2017-12-19,106.9
2017-12-20,106.53
2017-12-21,104.06
2017-12-22,103.67
