month,us10y,jp10y,usdjpy,rate_gap
2011-11-01,2.0135,1.062,77.5595,0.9515
2011-12-01,1.978095238095238,0.971,77.7967,1.0070952380952378
2012-01-01,1.9665,0.959,76.964,1.0074999999999998
2012-02-01,1.9675,0.962,78.47,1.0055
2012-03-01,2.1727272727272724,0.966,82.4659,1.2067272727272724
2012-04-01,2.052857142857143,0.914,81.2524,1.1388571428571428
2012-05-01,1.8031818181818184,0.846,79.6668,0.9571818181818185
2012-06-01,1.6223809523809525,0.789,79.3152,0.8333809523809524
2012-07-01,1.5266666666666668,0.78,78.9348,0.7466666666666668
2012-08-01,1.6782608695652177,0.8,78.6909,0.8782608695652177
2012-09-01,1.7231578947368422,0.757,78.1353,0.9661578947368422
2012-10-01,1.7461904761904763,0.76,79.0132,0.9861904761904763
2012-11-01,1.654,0.713,81.0305,0.941
2012-12-01,1.719,0.781,83.7905,0.9380000000000001
2013-01-01,1.9147619047619049,0.775,89.0581,1.139761904761905
2013-02-01,1.9842105263157896,0.669,93.0016,1.3152105263157896
2013-03-01,1.9575,0.492,94.77,1.4655
2013-04-01,1.7590909090909093,0.589,97.7582,1.1700909090909093
2013-05-01,1.9281818181818184,0.879,100.9186,1.0491818181818184
2013-06-01,2.3,0.822,97.235,1.4779999999999998
2013-07-01,2.5822727272727275,0.79,99.6727,1.7922727272727275
2013-08-01,2.737272727272728,0.708,97.8123,2.029272727272728
2013-09-01,2.8095,0.669,99.21,2.1405
2013-10-01,2.6159090909090907,0.59,97.77,2.025909090909091
2013-11-01,2.718421052631579,0.605,100.0737,2.113421052631579
2013-12-01,2.901904761904762,0.688,103.46,2.213904761904762
2014-01-01,2.858095238095238,0.614,103.7614,2.244095238095238
2014-02-01,2.709473684210526,0.586,102.1253,2.123473684210526
2014-03-01,2.723333333333333,0.605,102.3395,2.118333333333333
2014-04-01,2.705238095238095,0.61,102.4582,2.0952380952380953
2014-05-01,2.559047619047619,0.566,101.7738,1.9930476190476192
2014-06-01,2.5985714285714288,0.536,102.0629,2.0625714285714287
2014-07-01,2.5422727272727275,0.527,101.74,2.0152727272727273
2014-08-01,2.42,0.488,102.9438,1.932
2014-09-01,2.5342857142857143,0.497,107.4257,2.0372857142857144
2014-10-01,2.304090909090909,0.465,108.0264,1.839090909090909
2014-11-01,2.325555555555556,0.42,116.2994,1.905555555555556
2014-12-01,2.2072727272727275,0.33,119.3233,1.8772727272727274
2015-01-01,1.8815,0.275,118.25,1.6065
2015-02-01,1.9752631578947368,0.33,118.76,1.6452631578947368
2015-03-01,2.0427272727272725,0.4,120.3945,1.6427272727272726
2015-04-01,1.935,0.34,119.5095,1.595
2015-05-01,2.1975,0.39,120.798,1.8074999999999997
2015-06-01,2.363636363636364,0.455,123.7186,1.9086363636363641
2015-07-01,2.3245454545454547,0.41,123.3109,1.9145454545454548
2015-08-01,2.1671428571428573,0.38,123.0038,1.7871428571428574
2015-09-01,2.172857142857143,0.35,120.1476,1.822857142857143
2015-10-01,2.07,0.3,120.0481,1.7699999999999998
2015-11-01,2.263157894736842,0.3,122.6432,1.963157894736842
2015-12-01,2.2427272727272727,0.27,121.635,1.9727272727272727
2016-01-01,2.0852631578947367,0.095,118.2258,1.9902631578947367
2016-02-01,1.7795,-0.065,114.6155,1.8445
2016-03-01,1.8890909090909087,-0.05,112.9317,1.9390909090909088
2016-04-01,1.805238095238095,-0.085,109.5519,1.890238095238095
2016-05-01,1.806190476190476,-0.12,108.8481,1.926190476190476
2016-06-01,1.6440909090909093,-0.23,105.3509,1.8740909090909093
2016-07-01,1.504,-0.195,104.191,1.699
2016-08-01,1.556521739130435,-0.07,101.2383,1.626521739130435
2016-09-01,1.6304761904761906,-0.085,101.7843,1.7154761904761906
2016-10-01,1.7645,-0.05,103.9075,1.8145
2016-11-01,2.1420000000000003,0.02,108.443,2.1220000000000003
2016-12-01,2.491904761904762,0.04,115.9981,2.451904761904762
2017-01-01,2.4325,0.085,114.8721,2.3475
2017-02-01,2.4189473684210525,0.05,112.9116,2.3689473684210527
2017-03-01,2.4817391304347827,0.065,112.9165,2.4167391304347827
2017-04-01,2.2973684210526315,0.015,110.091,2.2823684210526314
2017-05-01,2.303636363636364,0.04,112.2436,2.263636363636364
2017-06-01,2.186818181818182,0.075,110.9141,2.111818181818182
2017-07-01,2.318,0.075,112.417,2.243
2017-08-01,2.2091304347826086,0.01,109.827,2.199130434782609
2017-09-01,2.202,0.06,110.776,2.142
2017-10-01,2.3600000000000003,0.065,112.9148,2.2950000000000004
2017-11-01,2.353333333333333,0.035,112.819,2.318333333333333
